0,0,3615.5487410318133,4
0,50,7946.61641089716,4
0,100,15582.596450123605,4
0,150,8861.172369547437,4
0,200,18731.120024777745,4
0,250,11868.200351783094,4
0,300,13377.437563612586,4
0,350,7.689015347807762,4
0,400,0,3
0,450,0,3
0,500,6.661132672026321,4
0,550,0,3
0,600,0,3
0,650,0,3
0,700,0,3
0,750,8820.994886783383,4
0,800,0,3
0,850,0,3
0,900,0,3
0,950,0,3
0,1e3,0,3
500,0,12.124043658886704,1
500,50,137.38471856611886,4
500,100,0,3
500,150,9.716473990069714,4
500,200,9.119445262969359,4
500,250,8.583471655647486,4
500,300,8.258790047727192,4
500,350,0,3
500,400,0,3
500,450,0,3
500,500,0,3
500,550,0,3
500,600,6.125658030033642,4
500,650,0,3
500,700,0,3
500,750,0,3
500,800,0,3
500,850,0,3
500,900,0,3
500,950,0,3
500,1e3,0,3
1e3,0,12.124038600848838,1
1e3,50,11.19804404597896,4
1e3,100,10.404335173581051,4
1e3,150,0,3
1e3,200,0,3
1e3,250,0,3
1e3,300,0,3
1e3,350,0,3
1e3,400,0,3
1e3,450,0,3
1e3,500,0,3
1e3,550,0,3
1e3,600,6.206786549571455,4
1e3,650,5.890644298100682,4
1e3,700,0,3
1e3,750,0,3
1e3,800,0,3
1e3,850,0,3
1e3,900,0,3
1e3,950,4.845627783186972,4
1e3,1e3,0,3
1500,0,12.124043620054769,1
1500,50,0,3
1500,100,10.404333183239737,4
1500,150,0,3
1500,200,9.114558256762619,4
1500,250,8.583484434648847,4
1500,300,8.111398434037085,4
1500,350,0,3
1500,400,0,3
1500,450,0,3
1500,500,0,3
1500,550,6.3814506492096745,4
1500,600,0,3
1500,650,0,3
1500,700,0,3
1500,750,0,3
1500,800,0,3
1500,850,0,3
1500,900,0,3
1500,950,0,3
1500,1e3,0,3
2e3,0,12.124043272487548,1
2e3,50,11.198044045733093,4
2e3,100,0,3
2e3,150,0,3
2e3,200,0,3
2e3,250,0,3
2e3,300,0,3
2e3,350,0,3
2e3,400,0,3
2e3,450,6.967670091855042,4
2e3,500,6.6630997711221,4
2e3,550,6.383689353120962,4
2e3,600,0,3
2e3,650,0,3
2e3,700,0,3
2e3,750,0,3
2e3,800,0,3
2e3,850,0,3
2e3,900,0,3
2e3,950,0,3
2e3,1e3,0,3
2500,0,12.124042843463174,1
2500,50,0,3
2500,100,10.404336196155342,4
2500,150,9.716452314014294,4
2500,200,0,3
2500,250,8.583471652145061,4
2500,300,0,3
2500,350,7.689013357167594,4
2500,400,0,3
2500,450,6.9676403538005784,4
2500,500,6.761144293796712,4
2500,550,0,3
2500,600,0,3
