March 1 2017 Xuhui Air Quality Data,,,
Hour,PM2.5 (ug/m3),CO2 (ppm),AHR
289,71,400,0.0043
290,86,400,0.0044
291,96,400,0.0049
292,103,400,0.0053
293,104,400,0.0053
294,112,400,0.0049
295,113,400,0.0051
296,114,400,0.0051
297,126,400,0.005
298,140,400,0.0048
299,140,400,0.004
300,140,400,0.0036
301,136,400,0.0031
302,136,400,0.0027
303,141,400,0.0026
304,155,400,0.0024
305,153,400,0.0023
306,147,400,0.0024
307,151,400,0.0024
308,162,400,0.0024
309,163,400,0.0026
310,159,400,0.0025
311,153,400,0.0031
312,149,400,0.0033
313,146,400,0.0038
314,139,400,0.0042
315,137,400,0.0046
316,134,400,0.0053
317,145,400,0.0056
318,154,400,0.006
319,166,400,0.0062
320,169,400,0.0065
321,180,400,0.0063
322,167,400,0.0055
323,157,400,0.0046
324,155,400,0.0039
325,160,400,0.0028
326,156,400,0.0027
327,154,400,0.0024
328,152,400,0.0026
329,142,400,0.0023
330,143,400,0.0017
331,212,400,0.002
332,201,400,0.0021
333,175,400,0.002
334,175,400,0.0024
335,178,400,0.0033
336,187,400,0.0044
337,178,400,0.0042
338,170,400,0.0052
339,163,400,0.0064
340,155,400,0.0068
341,151,400,0.0076
342,156,400,0.0081
343,154,400,0.0076
344,148,400,0.0076
345,156,400,0.0067
346,136,400,0.0063
347,104,400,0.0053
348,100,400,0.0041
349,101,400,0.0034
350,104,400,0.0028
351,109,400,0.003
352,84,400,0.0028
353,84,400,0.0025
354,89,400,0.0029
355,126,400,0.0029
356,146,400,0.0027
357,140,400,0.0027
358,128,400,0.0028
359,125,400,0.0032
360,128,400,0.0039
361,131,400,0.0051
362,128,400,0.0074
363,130,400,0.0085
364,125,400,0.009
365,126,400,0.009
366,130,400,0.009
367,141,400,0.0096
368,164,400,0.0091
369,152,400,0.0085
370,130,400,0.008
371,128,400,0.0077
372,115,400,0.0074
373,110,400,0.0069
374,111,400,0.0065
375,113,400,0.0065
376,121,400,0.0059
377,116,400,0.0057
378,116,400,0.0058
379,119,400,0.0058
380,115,400,0.0063
381,108,400,0.0062
382,111,400,0.0067
383,117,400,0.0067
384,110,400,0.007
385,94,400,0.0067
386,82,400,0.0067
387,76,400,0.0065
388,73,400,0.0067
389,74,400,0.0067
390,70,400,0.0069
391,50,400,0.0066
392,62,400,0.0062
393,48,400,0.0064
394,42,400,0.0064
395,57,400,0.0056
396,64,400,0.0053
397,82,400,0.0047
398,72,400,0.0044
399,78,400,0.0043
400,70,400,0.0041
401,77,400,0.004
402,79,400,0.0038
403,87,400,0.0038
404,108,400,0.0041
405,159,400,0.0041
406,205,400,0.0042
407,202,400,0.0044
408,188,400,0.0041
409,176,400,0.0041
410,181,400,0.0041
411,163,400,0.0045
412,150,400,0.0044
413,152,400,0.0044
414,147,400,0.0044
415,143,400,0.0047
416,128,400,0.0044
417,117,400,0.004
418,124,400,0.0036
419,128,400,0.0027
420,131,400,0.0021
421,127,400,0.0018
422,138,400,0.0016
423,147,400,0.0016
424,142,400,0.0016
425,125,400,0.0015
426,122,400,0.0017
427,126,400,0.002
428,105,400,0.0022
429,100,400,0.0025
430,102,400,0.0026
431,88,400,0.0026
432,96,400,0.003
433,107,400,0.0036
434,125,400,0.0035
435,137,400,0.0035
436,133,400,0.0039
437,132,400,0.0039
438,142,400,0.0042
439,148,400,0.0042
440,142,400,0.0041
441,111,400,0.0036
442,90,400,0.0032
443,93,400,0.0029
444,60,400,0.0026
445,39,400,0.0025
446,56,400,0.0023
447,59,400,0.0022
448,71,400,0.0023
449,69,400,0.0024
450,69,400,0.0026
451,73,400,0.0029
452,63,400,0.0029
453,59,400,0.003
454,50,400,0.003
455,32,400,0.0039
456,29,400,0.0045
457,33,400,0.0054
458,31,400,0.0057
459,31,400,0.0059
460,33,400,0.0063
461,36,400,0.0063
462,39,400,0.0063
463,45,400,0.0063
464,49,400,0.0059
465,30,400,0.0059
466,26,400,0.0059
467,24,400,0.0059
468,24,400,0.0057
469,15,400,0.0054
470,17,400,0.0052
471,19,400,0.0052
472,19,400,0.0052
473,22,400,0.005
474,21,400,0.0052
475,20,400,0.0052
476,21,400,0.005
477,22,400,0.0048
478,25,400,0.0047
479,18,400,0.0045
480,25,400,0.0043
481,21,400,0.0042
482,21,400,0.0043
483,17,400,0.0045
484,22,400,0.0043
485,23,400,0.0042
486,13,400,0.0042
487,19,400,0.0043
488,19,400,0.0042
489,18,400,0.0042
490,18,400,0.0037
491,23,400,0.0039
492,21,400,0.0039
493,23,400,0.004
494,21,400,0.0046
495,23,400,0.0053
496,20,400,0.0059
497,26,400,0.0059
498,25,400,0.0057
499,24,400,0.0057
500,28,400,0.0057
501,24,400,0.0059
502,24,400,0.0059
503,33,400,0.0061
504,24,400,0.0063
505,27,400,0.0063
506,36,400,0.0063
507,43,400,0.0063
508,49,400,0.0061
509,47,400,0.0055
510,27,400,0.0051
511,24,400,0.0053
512,26,400,0.005
513,27,400,0.0048
514,23,400,0.0048
