"AHU","dampers","Cap_ex","Op_ex","NPC","feasibility","fmax","pmax","hmax"
"9","3","460000","19735.20981537291","705944.3358733369","Feasible","4572.891891439112","368683.18396586727","61.181906581027086"
"9","4","465000","19507.221879473687","708103.1022605993","Feasible","4369.670430210998","353208.0924504952","58.604962685039915"
"9","5","470000","19884.348381064417","717802.9320491692","Feasible","4166.441495602104","359164.058631862","57.2173479492738"
"9","6","475000","19773.007814230776","721415.3824856307","Feasible","3649.328330313389","358531.077933579","57.44940494688932"
"9","7","480000","19050.00249875885","717405.1381654451","Feasible","3331.1861155722213","357110.6450993336","57.30591391414039"
"9","8","485000","20016.535559579504","734450.2764724111","Feasible","3170.7245478683512","359479.43043721415","59.11583181218778"
"9","9","490000","19010.571346899673","726913.7388569274","Feasible","2960.2368248159255","342850.5399381828","57.17968784759021"
"9","10","495000","17859.57406992754","717569.7686876099","Feasible","2750.112080886894","331084.6482555063","54.61602202345335"
"9","11","500000","17811.54173120989","721971.1795792665","Feasible","2083.2676550043234","316803.35403986543","52.07712770940309"
"9","12","505000","16984.92302286959","716669.6833628509","Feasible","1829.1573321259568","299955.0551009673","49.547244411289775"
"9","13","510000","16363.491562488049","713925.2737901043","Feasible","1815.116936306659","290400.03697215905","49.54520877204905"
"10","1","500000","20387.99811907729","754079.5210232508","Feasible","4877.751312204564","399560.2142907363","59.97906383352991"
"10","2","505000","18464.524934983776","735108.7936148422","Feasible","4572.891964964647","380780.5382780492","55.677107333728884"
"10","3","510000","18802.001454326608","744314.496984561","Feasible","4572.891855190658","354568.83104751736","63.25844454731324"
"10","4","515000","18729.28341655938","748408.2695022089","Feasible","4369.6881468221945","347106.27566577785","57.4351492682117"
"10","5","520000","18515.627494584376","750745.6444616271","Feasible","4166.481040591969","354546.17968102347","57.368365997333925"
"10","6","525000","18281.458205434352","752827.3775244765","Feasible","3649.5992172569013","347617.83599329536","56.93825008170983"
"10","7","530000","18090.853033057705","755452.0157739426","Feasible","3331.8036034472707","350022.86443529045","57.316422820233356"
"10","8","535000","16510.616469021854","740758.7753219551","Feasible","3170.92575653896","339781.3633463192","50.215248498292446"
"10","9","540000","18334.78577900172","768491.9569633303","Feasible","2960.9640753956087","348847.59926354524","57.49705483818613"
"10","10","545000","17391.006650573232","761730.3829479554","Feasible","2749.1318872355732","332040.1088765992","54.20495092922661"
"10","11","550000","16974.275780698405","761536.9951913457","Feasible","2083.2401146427173","320656.59988627664","52.32295594711835"
"10","12","555000","16011.94420577167","754544.2166853409","Feasible","1829.1574850603465","299955.0443408739","49.54556459918854"
"10","13","560000","15575.30950617365","754102.7832160986","Feasible","1815.1048698003597","290400.00551932666","49.54494935991919"
